Município,2013,2014,2015,2016,2017,2018,2019,2020,2021
231160 REDENCAO,2,5,-,1,-,2,3,-,1
231170 RERIUTABA,-,1,-,-,1,-,-,-,1
231180 RUSSAS,4,7,-,5,7,3,2,3,4
231190 SABOEIRO,1,1,-,-,1,-,-,-,-
231195 SALITRE,-,1,2,-,3,1,1,1,-
231200 SANTANA DO ACARAU,2,-,-,1,1,-,-,2,-
231210 SANTANA DO CARIRI,1,1,1,-,-,-,1,-,-
231220 SANTA QUITERIA,2,2,2,-,1,-,-,2,1
231230 SAO BENEDITO,3,4,6,1,-,-,4,-,2
231240 SAO GONCALO DO AMARANTE,1,2,2,4,4,1,2,1,2
231260 SAO LUIS DO CURU,-,-,1,1,-,-,-,1,-
231270 SENADOR POMPEU,4,1,-,2,-,1,-,1,-
231290 SOBRAL,249,218,195,210,202,250,220,209,171
231300 SOLONOPOLE,-,-,-,-,-,2,2,-,1
231310 TABULEIRO DO NORTE,1,-,-,-,-,-,-,-,-
231320 TAMBORIL,-,1,1,-,-,1,-,-,-
231325 TARRAFAS,1,-,-,1,-,-,-,-,-
231330 TAUA,2,2,8,5,8,4,7,7,2
231335 TEJUCUOCA,3,1,-,-,-,-,-,2,-
231340 TIANGUA,14,4,9,10,3,6,4,3,10
231350 TRAIRI,1,1,-,-,1,2,1,-,-
231355 TURURU,1,-,-,-,-,-,1,-,-
231360 UBAJARA,-,-,-,1,-,2,1,3,1
231370 UMARI,-,1,-,-,-,-,-,-,-
231375 UMIRIM,-,-,1,-,-,1,2,-,-
231380 URUBURETAMA,-,-,-,-,1,1,1,-,-
231390 URUOCA,-,-,-,-,1,-,-,-,-
231400 VARZEA ALEGRE,5,3,2,-,3,3,4,2,3
231410 VICOSA DO CEARA,2,2,-,1,4,2,1,3,2
240010 ACARI,1,-,1,-,1,-,-,-,1
240020 ACU,3,3,2,1,1,1,4,2,-
240030 AFONSO BEZERRA,-,-,-,2,-,-,-,-,-
240050 ALEXANDRIA,1,-,-,-,1,-,2,-,-
240060 ALMINO AFONSO,-,-,-,1,1,-,-,-,-
240070 ALTO DO RODRIGUES,1,1,-,-,-,-,-,-,-
240090 ANTONIO MARTINS,-,1,-,-,-,-,1,-,-
240100 APODI,1,1,1,-,1,1,-,-,2
240120 ARES,1,-,1,1,1,-,-,-,-
240140 BAIA FORMOSA,-,-,-,-,-,-,1,-,-
240145 BARAUNA,-,-,1,-,-,-,1,-,-
240150 BARCELONA,-,1,-,-,-,-,-,1,-
240160 BENTO FERNANDES,-,-,-,1,-,-,-,-,-
240170 BOM JESUS,-,-,-,-,1,-,-,-,-
240180 BREJINHO,-,-,-,-,-,-,-,1,-
240200 CAICO,4,7,4,6,5,1,10,2,7
240220 CANGUARETAMA,3,-,1,3,-,-,1,-,2
240230 CARAUBAS,-,1,2,2,-,-,-,-,-
240250 CARNAUBAIS,-,1,-,-,-,-,-,-,-
240260 CEARA-MIRIM,2,1,2,3,2,1,-,2,5
240310 CURRAIS NOVOS,27,11,15,5,4,14,2,2,4
240320 DOUTOR SEVERIANO,-,2,-,-,-,-,-,-,-
240325 PARNAMIRIM,52,44,47,32,21,28,26,20,16
240340 EQUADOR,-,1,-,-,-,-,-,-,-
240350 ESPIRITO SANTO,-,1,-,-,-,-,1,-,-
240360 EXTREMOZ,2,1,-,-,1,1,2,-,-
240380 FLORANIA,-,-,-,-,-,-,-,-,1
240410 GALINHOS,-,-,-,-,-,-,-,1,-
240420 GOIANINHA,3,2,1,2,2,1,3,-,1
240430 GOVERNADOR DIX-SEPT ROSADO,-,1,-,1,-,-,-,-,1
240450 GUAMARE,2,1,1,1,-,-,1,1,1
240460 IELMO MARINHO,-,-,-,-,1,-,-,-,1
240470 IPANGUACU,-,-,-,-,2,-,-,1,1
240485 ITAJA,-,-,1,-,-,-,2,-,-
240490 ITAU,-,-,-,-,-,-,-,-,1
240500 JACANA,-,2,1,-,-,-,-,-,-
240510 JANDAIRA,1,-,-,-,-,-,1,-,1
240520 JANDUIS,-,-,-,-,-,1,-,-,1
240530 JANUARIO CICCO,-,-,-,-,1,-,-,-,-
240560 JARDIM DE PIRANHAS,-,1,-,-,1,-,-,-,-
240570 JARDIM DO SERIDO,-,-,1,-,-,-,-,-,-
240580 JOAO CAMARA,2,1,2,-,-,1,2,2,2
240600 JOSE DA PENHA,-,-,1,-,-,-,-,-,-
240610 JUCURUTU,-,-,2,-,-,-,-,1,-
240650 LAGOA NOVA,-,-,1,-,2,-,1,-,-
240670 LAJES,-,-,-,-,-,1,-,-,-
240690 LUCRECIA,1,-,-,-,-,-,-,-,-
240700 LUIS GOMES,1,-,1,1,-,1,1,-,-
240710 MACAIBA,3,4,1,-,1,3,2,2,4
240720 MACAU,-,1,1,1,1,-,2,-,1
240740 MARTINS,-,-,-,-,-,-,-,1,-
240750 MAXARANGUAPE,-,-,-,-,-,-,1,-,-
240760 MESSIAS TARGINO,-,-,-,-,-,1,-,-,-
240770 MONTANHAS,-,1,-,-,-,-,-,-,-
240780 MONTE ALEGRE,-,-,-,1,1,-,-,-,-
240790 MONTE DAS GAMELEIRAS,-,-,-,-,-,-,1,-,-
240800 MOSSORO,99,107,113,93,94,86,96,84,86
240810 NATAL,414,380,438,389,382,361,344,316,354
240820 NISIA FLORESTA,1,1,-,-,-,-,-,-,-
240830 NOVA CRUZ,3,1,-,3,-,2,-,2,2
240840 OLHO-D'AGUA DO BORGES,1,-,-,-,-,-,-,-,-
240850 OURO BRANCO,-,1,-,-,-,-,-,-,-
240890 PARELHAS,2,3,-,2,1,1,-,1,-
240895 RIO DO FOGO,-,-,-,1,-,-,-,-,-
240910 PASSA E FICA,2,-,-,-,1,-,-,-,-
240920 PASSAGEM,-,-,1,-,-,-,-,-,-
240930 PATU,-,-,-,1,-,-,-,-,-
240940 PAU DOS FERROS,11,17,10,2,11,19,14,12,8
240960 PEDRA PRETA,-,-,-,-,-,-,1,-,-
240970 PEDRO AVELINO,-,1,-,-,-,-,1,-,-
240980 PEDRO VELHO,-,-,-,-,-,-,-,1,-
240990 PENDENCIAS,-,-,-,2,-,-,-,-,-
241010 POCO BRANCO,-,-,1,-,-,-,-,-,-
241020 PORTALEGRE,-,1,-,-,-,-,-,-,-
241025 PORTO DO MANGUE,-,-,-,-,1,-,-,-,-
241030 SERRA CAIADA,-,1,1,-,1,-,-,-,-
241040 PUREZA,-,-,-,-,1,-,-,-,-
241090 RIACHUELO,-,-,-,-,-,-,-,-,2
241100 RODOLFO FERNANDES,1,-,-,-,-,-,-,-,-
241120 SANTA CRUZ,4,4,7,5,11,22,15,17,10
241140 SANTANA DO MATOS,1,-,-,1,-,-,-,-,-
241150 SANTO ANTONIO,2,-,-,-,-,-,2,1,3
241180 SAO FERNANDO,-,-,-,-,1,-,-,-,-
241190 SAO FRANCISCO DO OESTE,-,-,-,1,-,-,-,-,-
241200 SAO GONCALO DO AMARANTE,5,1,6,2,5,1,1,2,1
241220 SAO JOSE DE MIPIBU,6,4,5,2,3,6,8,8,5
241230 SAO JOSE DO CAMPESTRE,1,-,-,1,-,-,-,1,-
241250 SAO MIGUEL,-,-,1,1,-,2,-,-,-
241255 SAO MIGUEL DO GOSTOSO,1,-,-,-,-,-,-,-,-
241260 SAO PAULO DO POTENGI,1,-,1,2,1,1,-,3,-
241300 SAO VICENTE,-,-,1,-,-,-,-,-,-
241310 SENADOR ELOI DE SOUZA,-,-,-,-,1,-,-,-,-
241335 SERRA DO MEL,-,-,1,-,1,-,-,-,-
241380 TABOLEIRO GRANDE,1,-,-,-,-,1,-,-,-
241390 TAIPU,-,1,-,-,-,-,1,-,-
241400 TANGARA,-,-,-,-,-,-,1,-,-
241410 TENENTE ANANIAS,1,-,-,-,-,-,-,1,-
241420 TIBAU DO SUL,2,-,-,1,-,-,-,1,-
241440 TOUROS,-,-,-,1,-,1,1,1,1
241460 UPANEMA,1,-,1,-,1,-,-,-,-
241470 VARZEA,-,-,-,-,-,-,-,1,-
241480 VERA CRUZ,-,-,1,-,-,-,-,-,1
241500 VILA FLOR,-,1,-,-,-,-,-,-,-
 MUNICIPIO IGNORADO - PB,1,-,-,-,-,-,1,-,-
250010 AGUA BRANCA,-,-,1,1,-,-,-,-,-
250020 AGUIAR,-,-,-,-,-,-,-,-,1
250030 ALAGOA GRANDE,1,-,1,2,2,2,1,1,-
250040 ALAGOA NOVA,1,1,1,1,1,-,1,-,2
250050 ALAGOINHA,-,-,-,-,-,1,-,-,-
250053 ALCANTIL,-,1,-,-,-,-,-,-,-
250060 ALHANDRA,-,1,-,-,-,-,-,-,1
250080 ARACAGI,-,-,-,1,-,-,-,-,-
250090 ARARA,-,-,-,-,-,1,-,1,-
250100 ARARUNA,1,-,-,1,-,-,-,1,-
250110 AREIA,1,2,-,2,-,-,-,-,-
250130 AROEIRAS,2,1,1,-,1,-,-,-,-
250135 ASSUNCAO,-,-,-,-,-,-,-,1,-
250150 BANANEIRAS,1,-,1,1,-,2,-,-,1
250153 BARAUNA,-,-,-,-,-,-,-,-,1
250157 BARRA DE SANTANA,1,1,-,-,-,-,-,-,-
250160 BARRA DE SANTA ROSA,-,-,-,-,1,-,-,1,-
250180 BAYEUX,3,1,3,-,3,-,1,3,4
250190 BELEM,-,-,-,-,-,2,2,-,1
250200 BELEM DO BREJO DO CRUZ,-,-,-,-,-,1,-,-,-
250205 BERNARDINO BATISTA,-,-,-,1,-,-,-,-,-
250210 BOA VENTURA,-,-,-,-,-,1,-,-,-
250215 BOA VISTA,-,-,1,-,-,-,-,-,-
250230 BOM SUCESSO,-,-,-,-,-,1,-,-,-
250240 BONITO DE SANTA FE,-,-,-,-,-,-,-,1,-
250250 BOQUEIRAO,-,-,-,-,1,-,1,-,-
250260 IGARACY,-,-,-,-,-,1,-,-,-
250270 BORBOREMA,-,1,-,-,-,-,-,-,-
250280 BREJO DO CRUZ,1,1,-,-,-,-,1,-,-
250300 CAAPORA,2,-,-,1,-,-,-,-,-
250320 CABEDELO,2,-,1,1,-,1,-,1,4
250330 CACHOEIRA DOS INDIOS,1,-,-,-,-,-,-,-,-
250355 CACIMBAS,3,-,1,1,-,-,-,-,-
250370 CAJAZEIRAS,18,11,22,16,17,14,15,14,14
250375 CAJAZEIRINHAS,-,-,-,-,-,-,-,-,1
250380 CALDAS BRANDAO,-,-,-,-,-,-,-,1,-
250390 CAMALAU,-,-,1,-,-,-,-,-,-
250400 CAMPINA GRANDE,239,267,211,215,264,223,231,223,184
250403 CAPIM,-,1,-,-,-,-,-,-,1
250415 CASSERENGUE,-,-,-,1,-,-,-,1,-
250430 CATOLE DO ROCHA,2,1,2,3,4,7,1,2,2
250440 CONCEICAO,-,1,2,1,1,1,-,2,-
250450 CONDADO,-,-,-,-,-,-,-,1,-
250460 CONDE,1,-,1,-,-,1,2,3,-
250480 COREMAS,-,1,-,-,-,-,3,-,2
250490 CRUZ DO ESPIRITO SANTO,-,-,-,-,-,-,1,-,1
250510 CUITE,-,2,-,-,-,-,-,-,1
250520 CUITEGI,-,-,-,-,-,-,-,1,-
250527 CURRAL DE CIMA,-,-,-,-,-,-,1,-,-
250540 DESTERRO,-,-,-,-,-,-,-,-,2
250570 DONA INES,1,3,1,-,-,-,-,-,-
250580 DUAS ESTRADAS,1,-,-,-,-,-,-,-,-
250600 ESPERANCA,1,1,-,1,-,-,1,1,1
250610 FAGUNDES,-,-,1,-,-,-,-,-,-
250620 FREI MARTINHO,-,-,-,1,-,-,-,-,-
250630 GUARABIRA,8,16,14,13,14,13,11,8,13
250640 GURINHEM,-,-,-,-,-,-,1,1,-
250660 IBIARA,-,-,-,-,-,1,-,-,-
250670 IMACULADA,1,1,-,-,1,-,-,1,-
250680 INGA,-,1,1,-,-,-,-,-,-
250690 ITABAIANA,3,1,1,4,1,-,-,3,3
250700 ITAPORANGA,2,2,2,2,1,3,3,1,7
250710 ITAPOROROCA,2,-,-,-,-,1,-,-,-
250730 JACARAU,1,-,-,-,-,-,-,-,-
250750 JOAO PESSOA,368,340,273,336,332,293,339,315,307
250760 JUAREZ TAVORA,1,-,-,-,1,-,-,-,-
250770 JUAZEIRINHO,1,2,-,-,1,1,-,-,2
250790 JURIPIRANGA,-,-,1,-,-,-,-,-,-
250800 JURU,-,-,-,-,-,1,1,1,-
250820 LAGOA DE DENTRO,-,-,-,-,-,-,1,-,2
250830 LAGOA SECA,-,-,1,-,-,-,-,-,-
250860 LUCENA,-,-,-,-,2,1,-,-,-
250890 MAMANGUAPE,1,1,4,1,2,5,3,8,7
250900 MANAIRA,-,-,-,-,1,-,-,-,1
250905 MARCACAO,1,-,-,-,-,-,-,1,-
250910 MARI,-,-,-,-,-,-,2,1,-
250915 MARIZOPOLIS,-,-,-,-,-,-,1,-,-
250920 MASSARANDUBA,-,1,-,-,-,-,-,-,-
250930 MATARACA,-,-,-,-,-,-,-,1,-
250933 MATINHAS,-,-,1,-,-,-,-,-,-
250939 MATUREIA,1,-,-,-,-,-,-,-,-
250940 MOGEIRO,-,1,-,-,-,-,-,-,-
250950 MONTADAS,1,-,-,-,-,-,-,-,1
250970 MONTEIRO,1,3,3,2,2,5,5,5,4
250980 MULUNGU,-,-,-,-,1,-,-,-,-
250990 NATUBA,1,-,-,-,-,-,-,-,-
251000 NAZAREZINHO,-,-,-,1,-,-,-,-,-
251010 NOVA FLORESTA,-,-,-,1,-,-,-,-,-
251020 NOVA OLINDA,-,1,-,-,-,-,-,-,-
251040 OLHO D'AGUA,-,1,-,-,-,-,-,-,-
251050 OLIVEDOS,-,-,-,-,-,-,-,1,-
251080 PATOS,92,64,70,61,70,57,70,56,77
251110 PEDRA LAVRADA,-,1,-,-,-,-,1,-,1
251120 PEDRAS DE FOGO,-,-,1,-,-,-,1,2,-
251130 PIANCO,-,-,2,2,-,2,-,2,-
251140 PICUI,-,1,3,1,1,2,3,2,-
251150 PILAR,-,1,1,-,-,1,-,-,-
251160 PILOES,-,-,-,-,1,-,-,-,-
251170 PILOEZINHOS,-,-,-,-,-,-,-,1,-
251190 PITIMBU,2,-,-,-,-,-,-,-,2
251200 POCINHOS,-,-,1,-,1,-,-,-,-
251210 POMBAL,1,1,1,-,1,1,1,3,1
251230 PRINCESA ISABEL,7,1,-,-,1,2,5,2,2
251240 PUXINANA,-,-,-,-,-,-,1,-,-
251250 QUEIMADAS,-,-,1,3,1,5,3,2,2
251260 QUIXABA,-,-,-,-,-,1,-,-,-
251270 REMIGIO,-,-,3,-,-,1,-,1,-
251272 PEDRO REGIS,1,-,-,-,1,-,-,-,-
251278 RIACHO DE SANTO ANTONIO,-,-,-,-,-,1,-,-,-
251280 RIACHO DOS CAVALOS,-,-,-,-,-,1,-,-,-
251290 RIO TINTO,1,-,-,-,-,-,-,-,1
251300 SALGADINHO,-,-,-,-,-,-,1,-,-
251310 SALGADO DE SAO FELIX,1,-,-,-,-,-,-,-,1
251315 SANTA CECILIA,-,-,-,1,-,-,-,-,-
251340 SANTA LUZIA,-,1,-,-,3,1,-,-,1
251350 SANTANA DE MANGUEIRA,-,-,1,-,-,-,-,1,-
251360 SANTANA DOS GARROTES,-,-,1,-,-,-,-,-,-
251370 SANTA RITA,8,5,6,5,6,12,16,18,14
251380 SANTA TERESINHA,-,-,-,-,-,-,-,1,-
251390 SAO BENTO,1,1,3,2,1,1,-,1,2
251400 SAO JOAO DO CARIRI,1,-,-,-,-,-,-,-,-
251410 SAO JOAO DO TIGRE,-,-,-,-,-,-,-,-,1
251430 SAO JOSE DE CAIANA,-,-,1,-,1,-,-,-,-
251440 SAO JOSE DE ESPINHARAS,1,-,-,-,-,-,-,-,-
251445 SAO JOSE DOS RAMOS,-,-,-,-,-,1,-,-,-
251450 SAO JOSE DE PIRANHAS,-,-,-,-,-,-,1,-,-
251480 SAO JOSE DOS CORDEIROS,1,-,-,-,-,-,-,-,-
251490 SAO MAMEDE,-,-,-,-,-,-,-,-,1
251500 SAO MIGUEL DE TAIPU,-,-,-,-,-,1,-,-,-
251510 SAO SEBASTIAO DE LAGOA DE ROCA,-,-,-,-,-,-,-,-,1
251530 SAPE,3,-,1,1,2,1,-,1,3
251540 SAO VICENTE DO SERIDO,-,2,-,-,-,-,-,1,-
251550 SERRA BRANCA,-,-,-,-,-,2,-,-,-
251580 SERRA REDONDA,-,2,-,1,-,-,-,-,-
251590 SERRARIA,-,-,-,-,1,1,-,-,-
251600 SOLANEA,3,1,2,2,2,2,3,2,2
251610 SOLEDADE,-,-,1,1,-,1,1,-,1
251620 SOUSA,10,4,13,7,5,9,3,3,13
251630 SUME,-,2,2,2,-,-,-,-,-
251640 TACIMA,-,-,-,-,1,-,-,-,-
251650 TAPEROA,1,-,-,-,-,-,-,2,-
251660 TAVARES,-,3,-,-,-,-,-,-,-
251670 TEIXEIRA,-,-,-,-,2,1,1,1,1
251675 TENORIO,1,-,-,-,-,-,-,-,-
251690 UIRAUNA,-,-,-,1,1,-,-,-,-
251700 UMBUZEIRO,-,1,-,-,-,-,-,-,-
260005 ABREU E LIMA,5,4,2,2,3,3,2,-,1
260010 AFOGADOS DA INGAZEIRA,8,6,11,8,3,6,12,21,10
260020 AFRANIO,2,1,-,2,1,1,1,1,-
260030 AGRESTINA,-,-,-,-,-,1,-,-,1
260040 AGUA PRETA,-,-,-,-,-,-,1,-,-
260050 AGUAS BELAS,5,1,5,4,1,4,3,2,-
260060 ALAGOINHA,-,-,-,1,-,-,-,-,1
260070 ALIANCA,-,-,-,1,-,-,-,-,-
260080 ALTINHO,-,1,-,-,-,1,2,-,-
260090 AMARAJI,1,1,-,1,-,-,-,-,-
260100 ANGELIM,3,1,-,-,1,-,-,-,-
260105 ARACOIABA,1,-,-,-,-,-,-,-,1
260110 ARARIPINA,9,9,11,9,9,13,21,8,26
260120 ARCOVERDE,34,24,20,24,26,37,36,24,27
260130 BARRA DE GUABIRABA,-,-,1,-,-,-,1,-,-
260140 BARREIROS,6,1,2,4,2,3,1,2,2
260150 BELEM DE MARIA,-,-,-,-,-,-,-,1,1
260160 BELEM DE SAO FRANCISCO,-,3,-,-,-,-,-,-,-
260170 BELO JARDIM,2,1,2,4,3,6,3,5,-
260180 BETANIA,2,-,-,-,1,1,-,-,-
260190 BEZERROS,2,1,2,1,1,-,2,2,3
260200 BODOCO,1,1,2,4,2,-,-,-,-
260210 BOM CONSELHO,1,1,3,-,4,7,1,1,1
260220 BOM JARDIM,-,-,1,-,-,-,1,-,2
260230 BONITO,4,2,1,-,1,1,-,1,3
260240 BREJAO,1,-,-,-,-,-,-,-,-
260250 BREJINHO,1,-,-,-,-,-,1,-,-
260260 BREJO DA MADRE DE DEUS,2,-,2,1,1,2,1,2,-
260270 BUENOS AIRES,-,-,-,-,-,-,-,-,1
260280 BUIQUE,1,3,1,1,3,-,-,2,1
260290 CABO DE SANTO AGOSTINHO,5,9,7,7,4,10,1,4,7
260300 CABROBO,1,4,2,2,4,3,1,4,3
260310 CACHOEIRINHA,1,-,-,1,2,1,1,-,-
260320 CAETES,-,-,1,-,1,-,-,-,-
260330 CALCADO,-,-,-,2,-,-,-,-,-
260340 CALUMBI,-,-,-,1,-,-,-,-,-
260345 CAMARAGIBE,-,-,3,4,-,3,4,4,4
260350 CAMOCIM DE SAO FELIX,-,-,2,2,-,-,-,-,-
260360 CAMUTANGA,-,1,1,1,-,-,-,-,-
260370 CANHOTINHO,3,3,2,1,1,2,-,-,-
260380 CAPOEIRAS,1,-,3,4,1,1,-,-,-
260390 CARNAIBA,-,-,-,-,-,-,-,1,-
260392 CARNAUBEIRA DA PENHA,2,-,-,2,1,2,1,-,3
260400 CARPINA,1,-,1,2,1,2,2,1,-
260410 CARUARU,137,131,138,109,121,94,89,72,73
260415 CASINHAS,-,-,-,-,-,-,-,1,-
260420 CATENDE,1,-,1,2,1,2,-,-,-
260440 CHA DE ALEGRIA,1,-,-,-,-,1,-,-,-
260450 CHA GRANDE,-,1,-,-,-,-,-,-,-
260460 CONDADO,-,1,1,-,-,-,1,-,-
260470 CORRENTES,1,1,1,-,-,-,-,-,1
260480 CORTES,-,-,-,-,-,1,1,-,-
260490 CUMARU,1,-,-,-,-,-,1,1,-
260500 CUPIRA,1,-,1,1,-,-,-,1,1
260510 CUSTODIA,4,2,2,4,-,3,1,5,2
260515 DORMENTES,3,1,-,2,1,-,-,1,-
260520 ESCADA,1,-,5,3,1,3,1,-,1
260530 EXU,-,-,2,1,1,1,1,1,-
260540 FEIRA NOVA,2,1,-,-,-,1,1,-,1
260545 FERNANDO DE NORONHA,-,-,-,1,-,-,-,-,-
260550 FERREIROS,-,-,-,-,-,-,1,-,-
260560 FLORES,-,1,2,-,-,-,1,-,2
260570 FLORESTA,4,2,5,5,4,1,1,1,2
260580 FREI MIGUELINHO,1,-,-,-,-,1,-,-,-
260590 GAMELEIRA,-,-,-,-,-,-,1,-,-
260600 GARANHUNS,43,33,34,34,27,35,27,25,22
260610 GLORIA DO GOITA,-,-,-,1,1,-,-,-,-
260620 GOIANA,4,1,5,3,3,3,3,3,4
260630 GRANITO,-,-,-,-,-,-,-,1,-
260640 GRAVATA,4,-,4,2,1,6,-,1,2
260650 IATI,3,-,1,-,-,-,1,1,-
260660 IBIMIRIM,5,4,4,2,1,2,1,-,-
260680 IGARASSU,1,3,5,2,3,6,2,2,1
260690 IGUARACY,-,-,-,-,-,1,-,-,1
260700 INAJA,4,3,1,3,3,3,2,1,-
260720 IPOJUCA,1,3,6,2,4,5,4,3,4
260730 IPUBI,3,3,-,1,1,1,1,3,2
260740 ITACURUBA,1,-,-,-,-,-,-,-,-
260750 ITAIBA,3,-,2,1,-,2,1,2,1
260760 ILHA DE ITAMARACA,1,2,1,-,-,-,-,1,2
260765 ITAMBE,2,-,-,-,1,2,-,4,2
260770 ITAPETIM,2,-,1,2,-,-,1,-,-
260775 ITAPISSUMA,-,-,-,1,-,-,-,-,-
260780 ITAQUITINGA,-,-,2,-,-,-,-,-,1
260790 JABOATAO DOS GUARARAPES,86,71,74,73,60,69,86,56,85
260795 JAQUEIRA,-,1,-,1,-,-,-,-,-
260800 JATAUBA,2,2,1,-,1,2,-,1,1
260805 JATOBA,1,-,-,-,2,1,-,1,-
260810 JOAO ALFREDO,-,-,-,-,-,2,1,-,-
260825 JUCATI,-,-,-,1,1,1,1,-,-
260830 JUPI,2,-,-,1,3,3,1,-,-
260840 JUREMA,1,1,-,-,1,-,1,-,-
260845 LAGOA DO CARRO,1,-,-,-,-,-,-,1,-
260850 LAGOA DE ITAENGA,1,2,-,-,-,-,-,1,-
260860 LAGOA DO OURO,-,-,-,-,1,-,1,-,2
260870 LAGOA DOS GATOS,-,-,-,-,-,-,1,-,-
260875 LAGOA GRANDE,2,2,4,3,-,1,-,4,-
260880 LAJEDO,1,3,2,3,3,-,5,2,3
260890 LIMOEIRO,3,6,4,5,5,3,5,4,3
260900 MACAPARANA,2,1,1,1,-,1,-,-,1
260910 MACHADOS,-,-,1,-,-,-,-,-,-
260915 MANARI,6,1,2,-,-,1,1,1,-
260920 MARAIAL,-,1,-,-,-,1,-,-,-
260930 MIRANDIBA,-,1,4,2,2,-,2,-,1
260940 MORENO,2,-,1,-,2,-,1,1,-
260950 NAZARE DA MATA,4,8,11,2,4,4,3,4,5
260960 OLINDA,20,23,20,18,11,10,12,14,14
260970 OROBO,-,-,2,1,-,-,1,-,-
260980 OROCO,1,2,2,2,3,1,-,1,1
260990 OURICURI,30,36,36,48,40,33,38,26,29
261000 PALMARES,52,54,52,22,21,43,38,16,10
261010 PALMEIRINA,1,-,-,1,-,-,-,1,-
261020 PANELAS,-,2,1,-,-,-,1,-,1
261030 PARANATAMA,-,-,1,-,1,1,-,-,-
261040 PARNAMIRIM,-,2,-,1,1,-,-,-,-
261050 PASSIRA,1,-,-,-,-,1,-,-,-
261060 PAUDALHO,2,1,1,2,-,-,-,-,1
261070 PAULISTA,4,6,6,-,3,6,1,3,-
261080 PEDRA,1,-,2,-,1,1,-,-,-
261090 PESQUEIRA,4,4,3,4,4,5,1,3,4
261100 PETROLANDIA,12,7,6,7,-,2,2,2,2
261110 PETROLINA,290,344,334,320,288,300,309,279,257
261120 POCAO,1,-,1,1,-,-,-,-,-
261130 POMBOS,-,1,-,1,-,-,-,1,-
261150 QUIPAPA,3,-,-,-,1,-,2,-,1
261160 RECIFE,1113,1100,1048,1072,979,991,925,908,935
261170 RIACHO DAS ALMAS,-,-,-,-,-,-,-,-,1
261180 RIBEIRAO,1,1,3,4,-,-,1,-,-
261190 RIO FORMOSO,1,-,-,1,1,-,-,1,-
261200 SAIRE,1,1,-,-,-,1,-,1,-
261210 SALGADINHO,-,-,-,-,-,-,-,-,1
261220 SALGUEIRO,31,24,30,26,25,24,14,17,33
261230 SALOA,2,1,-,-,-,2,1,-,-
261240 SANHARO,3,4,1,-,2,-,-,-,1
261245 SANTA CRUZ,-,2,-,-,1,3,-,-,-
261247 SANTA CRUZ DA BAIXA VERDE,-,-,-,-,1,-,-,-,-
261250 SANTA CRUZ DO CAPIBARIBE,1,5,8,7,3,2,3,1,8
261255 SANTA FILOMENA,-,-,-,1,-,-,-,1,-
261260 SANTA MARIA DA BOA VISTA,2,4,3,1,-,3,3,-,6
261290 SAO BENEDITO DO SUL,3,-,-,-,-,-,-,-,1
261300 SAO BENTO DO UNA,1,4,3,-,2,1,4,1,-
261310 SAO CAITANO,-,1,1,1,-,1,3,1,1
261320 SAO JOAO,1,-,1,-,3,-,1,-,-
261330 SAO JOAQUIM DO MONTE,-,-,-,-,-,-,-,1,-
261340 SAO JOSE DA COROA GRANDE,1,1,-,-,-,-,-,1,1
261350 SAO JOSE DO BELMONTE,-,-,2,1,-,1,-,-,1
261360 SAO JOSE DO EGITO,2,3,2,1,3,3,1,1,2
261370 SAO LOURENCO DA MATA,5,6,4,3,2,3,2,7,3
261380 SAO VICENTE FERRER,1,-,-,-,1,-,-,-,-
261390 SERRA TALHADA,33,24,24,22,22,15,17,12,20
261400 SERRITA,-,-,-,-,1,1,-,-,1
261410 SERTANIA,2,-,2,-,1,-,-,-,2
261420 SIRINHAEM,-,2,2,1,1,1,1,-,3
261430 MOREILANDIA,-,-,1,1,-,1,1,-,-
261440 SOLIDAO,-,1,-,-,-,-,-,-,-
261450 SURUBIM,1,4,4,1,3,1,1,1,-
261460 TABIRA,1,-,1,2,-,1,1,-,1
261470 TACAIMBO,1,-,-,1,-,-,-,-,-
261480 TACARATU,1,2,1,-,-,-,1,1,-
261485 TAMANDARE,-,1,2,1,1,2,1,-,1
261500 TAQUARITINGA DO NORTE,2,-,2,1,1,-,-,1,-
261510 TEREZINHA,1,-,-,-,1,-,1,-,-
261530 TIMBAUBA,1,1,-,2,1,-,-,-,1
261540 TORITAMA,1,1,2,-,-,2,3,2,-
261550 TRACUNHAEM,-,-,-,-,-,-,-,1,-
261560 TRINDADE,1,1,-,2,1,1,-,2,-
261570 TRIUNFO,1,-,-,-,-,-,-,1,-
261580 TUPANATINGA,2,-,3,2,-,-,1,-,1
261590 TUPARETAMA,-,1,1,-,-,-,1,-,-
261600 VENTUROSA,-,-,-,1,1,1,-,-,-
261610 VERDEJANTE,-,-,-,-,-,-,-,-,1
261618 VERTENTE DO LERIO,1,-,-,-,-,-,-,-,-
261620 VERTENTES,1,-,1,1,-,-,-,-,-
261630 VICENCIA,-,1,-,-,-,-,-,-,1
261640 VITORIA DE SANTO ANTAO,48,38,39,33,37,44,34,35,29
261650 XEXEU,1,-,-,-,-,-,-,1,-
270010 AGUA BRANCA,3,1,2,2,1,-,-,2,3
270020 ANADIA,-,-,-,1,-,1,-,-,-
270030 ARAPIRACA,107,104,113,105,102,113,89,79,100
270040 ATALAIA,2,2,-,1,-,2,3,1,2
270050 BARRA DE SANTO ANTONIO,-,1,-,1,1,1,-,-,-
