Município,Menor de 10 anos,10 a 14 anos,15 a 19 anos,20 a 24 anos,25 a 29 anos,30 a 34 anos,35 a 39 anos,40 a 44 anos,45 a 49 anos,50 a 54 anos,55 a 59 anos,60 a 64 anos,Idade ignorada,Total
312100 DATAS,-,-,-,1,-,-,1,-,-,-,-,-,-,2
312120 DELFINOPOLIS,-,-,-,1,-,-,-,-,-,-,-,-,-,1
312130 DESCOBERTO,-,-,-,-,-,1,-,-,-,-,-,-,-,1
312160 DIAMANTINA,-,-,22,35,25,32,23,5,2,-,-,-,22,166
312180 DIONISIO,-,-,-,-,-,-,-,-,-,-,-,-,1,1
312200 DIVINO,-,-,2,2,-,1,-,-,-,-,-,-,1,6
312230 DIVINOPOLIS,-,4,31,45,46,52,33,14,2,-,-,-,63,290
312245 DIVISOPOLIS,-,-,-,-,1,1,-,-,-,-,-,-,-,2
312247 DOM BOSCO,-,-,-,-,-,-,-,-,-,-,-,-,1,1
312270 DOM SILVERIO,-,-,-,1,-,-,-,-,-,-,-,-,-,1
312300 DORES DE CAMPOS,-,-,1,-,-,-,-,-,-,-,-,-,-,1
312320 DORES DO INDAIA,-,-,1,1,1,1,1,-,-,-,-,-,1,6
312360 ELOI MENDES,-,-,-,-,-,1,1,-,-,-,-,-,8,10
312385 ENTRE FOLHAS,-,-,-,1,-,-,-,2,-,-,-,-,-,3
312390 ENTRE RIOS DE MINAS,-,-,1,3,2,1,1,-,-,-,-,-,1,9
312400 ERVALIA,-,-,1,-,-,1,-,-,-,-,-,-,-,2
312410 ESMERALDAS,-,-,3,3,-,3,1,-,-,-,-,-,2,12
312420 ESPERA FELIZ,-,-,1,3,2,-,1,-,-,-,-,-,1,8
312430 ESPINOSA,-,2,9,8,5,4,4,4,-,-,-,-,3,39
312450 ESTIVA,-,-,-,-,-,1,-,-,-,-,-,-,-,1
312460 ESTRELA DALVA,-,-,-,-,1,-,-,-,-,-,-,-,-,1
312470 ESTRELA DO INDAIA,-,-,-,1,-,1,-,-,-,-,-,-,-,2
312480 ESTRELA DO SUL,-,-,-,-,-,1,-,-,-,-,-,-,-,1
312510 EXTREMA,-,-,4,14,9,12,11,2,-,-,-,-,7,59
312530 FARIA LEMOS,-,1,-,-,-,-,-,-,-,-,-,-,-,1
312560 FELISBURGO,-,1,3,3,2,3,-,1,-,-,-,-,-,13
312570 FELIXLANDIA,-,-,1,-,-,-,-,-,-,-,-,-,-,1
312595 FERVEDOURO,-,-,-,-,2,-,-,-,-,-,-,-,-,2
312600 FLORESTAL,-,-,-,-,-,-,-,-,-,-,-,-,1,1
312610 FORMIGA,-,1,4,18,17,13,15,3,-,-,-,-,5,76
312620 FORMOSO,-,-,1,-,2,-,1,1,-,-,-,-,1,6
312640 FORTUNA DE MINAS,-,-,-,1,-,-,-,-,-,-,-,-,-,1
312650 FRANCISCO BADARO,-,-,-,-,-,-,-,-,-,-,-,-,2,2
312660 FRANCISCO DUMONT,-,-,2,-,-,-,-,-,-,-,-,-,-,2
312670 FRANCISCO SA,-,-,3,1,2,1,1,-,-,-,-,-,-,8
312705 FRONTEIRA DOS VALES,-,-,-,-,-,1,-,-,-,-,-,-,-,1
312710 FRUTAL,-,1,6,12,10,12,1,-,-,-,-,-,2,44
312738 GOIANA,-,-,-,-,-,-,-,-,-,-,-,-,1,1
312740 GONCALVES,-,-,-,-,-,-,-,-,-,-,-,-,2,2
312750 GONZAGA,-,-,-,1,-,-,-,-,-,-,-,-,-,1
312760 GOUVEIA,-,-,-,1,-,-,-,-,-,-,-,-,2,3
312770 GOVERNADOR VALADARES,-,2,107,141,128,109,72,19,2,-,-,-,22,602
312780 GRAO MOGOL,-,-,4,2,2,-,-,1,-,-,-,-,1,10
312800 GUANHAES,-,1,19,19,16,17,16,8,1,-,-,-,16,113
312810 GUAPE,-,-,1,-,-,-,1,-,-,-,-,-,-,2
312830 GUARANESIA,-,-,4,2,2,1,-,-,-,-,-,-,2,11
312850 GUARARA,-,-,-,-,-,-,1,-,-,-,-,-,-,1
312860 GUARDA-MOR,-,-,-,-,-,1,-,-,-,-,-,-,-,1
312870 GUAXUPE,-,-,6,9,11,12,11,3,-,-,-,-,11,63
312890 GUIMARANIA,-,-,-,-,1,-,-,-,-,-,-,-,-,1
312940 IBERTIOGA,-,-,-,-,-,1,-,-,-,-,-,-,-,1
312950 IBIA,-,-,2,3,5,2,3,-,-,-,-,-,3,18
312960 IBIAI,-,-,-,-,-,1,-,-,-,-,-,-,1,2
312980 IBIRITE,-,1,26,32,28,27,12,3,1,-,-,-,1,131
313005 ICARAI DE MINAS,-,-,-,-,1,-,-,-,-,-,-,-,-,1
313010 IGARAPE,-,-,-,-,2,-,-,-,-,-,-,-,-,2
313030 IGUATAMA,-,-,1,1,-,1,-,-,-,-,-,-,1,4
313050 ILICINEA,-,-,-,2,1,1,1,-,-,-,-,-,2,7
313065 INDAIABIRA,-,-,-,-,-,-,-,-,-,-,-,-,1,1
313070 INDIANOPOLIS,-,-,-,-,-,-,-,-,-,-,-,-,1,1
313090 INHAPIM,-,1,1,-,2,1,1,-,-,-,-,-,5,11
313100 INHAUMA,-,-,-,-,-,-,-,-,-,-,-,-,2,2
313120 IPANEMA,-,-,4,3,3,6,3,2,-,-,-,-,3,24
313130 IPATINGA,-,1,43,85,69,82,55,22,-,-,-,-,135,492
313160 IRAI DE MINAS,-,-,-,1,-,-,-,-,-,-,-,-,-,1
313170 ITABIRA,-,3,21,25,27,23,28,9,1,-,-,-,23,160
313180 ITABIRINHA,-,-,3,1,3,1,-,-,-,-,-,-,-,8
313190 ITABIRITO,-,1,2,8,9,10,4,7,-,-,-,-,1,42
313210 ITACARAMBI,-,1,4,4,3,1,1,1,-,-,-,-,4,19
313220 ITAGUARA,-,-,-,2,-,-,-,-,-,-,-,-,-,2
313230 ITAIPE,-,-,1,-,2,1,-,-,-,-,-,-,3,7
313240 ITAJUBA,-,-,20,33,35,22,18,12,-,-,-,-,41,181
313250 ITAMARANDIBA,-,-,3,5,2,6,3,1,-,-,-,-,10,30
313270 ITAMBACURI,-,1,9,9,8,4,7,1,-,-,-,-,25,64
313290 ITAMOGI,-,-,-,1,1,-,-,-,-,-,-,-,-,2
313300 ITAMONTE,-,-,1,3,1,5,5,-,-,-,-,-,-,15
313310 ITANHANDU,-,-,1,4,6,1,3,1,-,-,-,-,9,25
313320 ITANHOMI,-,-,-,1,1,2,-,-,-,-,-,-,1,5
313330 ITAOBIM,-,-,17,12,14,12,8,5,-,-,-,-,2,70
313340 ITAPAGIPE,-,-,-,-,-,-,1,-,-,-,-,-,-,1
313350 ITAPECERICA,-,-,1,3,-,1,1,-,-,-,-,-,-,6
313375 ITAU DE MINAS,-,-,-,-,1,1,-,1,-,-,-,-,-,3
313380 ITAUNA,-,2,6,20,15,18,11,3,-,-,-,-,4,79
313420 ITUIUTABA,-,1,19,18,18,14,12,3,-,-,-,-,10,95
313440 ITURAMA,-,-,9,9,6,11,4,-,-,-,-,-,2,41
313460 JABOTICATUBAS,-,1,-,1,-,-,-,-,-,-,-,-,-,2
313470 JACINTO,-,-,4,4,4,3,1,-,-,-,-,-,6,22
313480 JACUI,-,-,-,1,-,-,-,-,-,-,-,-,-,1
313490 JACUTINGA,-,-,1,4,2,-,2,-,-,-,-,-,5,14
313505 JAIBA,-,-,2,-,2,4,-,-,-,-,-,-,1,9
313510 JANAUBA,-,-,45,60,64,48,47,9,1,-,-,-,6,280
313520 JANUARIA,-,3,19,25,28,32,14,8,2,-,-,-,3,134
313535 JAPONVAR,-,-,-,-,-,-,1,-,-,-,-,-,1,2
313545 JENIPAPO DE MINAS,-,-,-,1,-,-,-,-,-,-,-,-,-,1
313560 JEQUITAI,-,-,-,2,2,-,-,-,-,-,-,-,-,4
313580 JEQUITINHONHA,-,1,8,5,4,1,2,1,-,-,-,-,19,41
313600 JOAIMA,-,1,5,3,5,3,5,1,-,-,-,-,5,28
313620 JOAO MONLEVADE,-,-,20,27,26,26,17,15,-,-,-,-,24,155
313630 JOAO PINHEIRO,-,1,13,18,12,4,2,-,1,-,-,-,2,53
313640 JOAQUIM FELICIO,-,-,-,-,-,-,-,-,-,-,-,-,1,1
313650 JORDANIA,-,-,2,1,1,-,-,-,-,-,-,-,-,4
313660 NOVA UNIAO,-,-,-,-,-,-,1,-,-,-,-,-,-,1
313665 JUATUBA,-,-,1,-,-,-,-,1,-,-,-,-,-,2
313670 JUIZ DE FORA,-,7,111,168,145,149,102,48,5,-,-,-,90,825
313690 JURUAIA,-,-,-,1,6,-,3,-,-,-,-,-,2,12
313700 LADAINHA,-,-,2,2,-,-,1,2,-,-,-,-,1,8
313720 LAGOA DA PRATA,-,-,3,4,7,2,1,1,-,-,-,-,11,29
313730 LAGOA DOS PATOS,-,-,-,1,-,-,-,-,-,-,-,-,-,1
313750 LAGOA FORMOSA,-,-,1,-,1,-,-,-,-,-,-,-,-,2
313753 LAGOA GRANDE,-,-,-,1,1,-,-,-,-,-,-,-,-,2
313760 LAGOA SANTA,-,-,-,-,1,2,-,-,-,-,-,-,1,4
313770 LAJINHA,-,-,1,1,3,5,-,-,-,-,-,-,5,15
313780 LAMBARI,-,-,3,2,1,3,-,-,-,-,-,-,5,14
313820 LAVRAS,-,-,26,38,44,40,36,9,1,-,-,-,9,203
313835 LEME DO PRADO,-,-,-,-,-,-,2,-,-,-,-,-,-,2
313840 LEOPOLDINA,-,1,5,12,10,13,6,4,-,-,-,-,12,63
313860 LIMA DUARTE,-,-,1,-,-,1,1,-,-,-,-,-,-,3
313880 LUZ,-,-,-,1,1,1,3,-,-,-,-,-,-,6
313890 MACHACALIS,-,-,4,3,2,2,2,-,-,-,-,-,-,13
313900 MACHADO,-,-,3,3,2,5,5,1,-,-,-,-,17,36
313920 MALACACHETA,-,1,7,17,11,5,2,1,-,-,-,-,10,54
313930 MANGA,-,-,7,10,6,5,3,-,-,-,-,-,5,36
313940 MANHUACU,-,5,65,94,87,51,39,17,3,-,-,-,14,375
313950 MANHUMIRIM,-,-,1,1,5,3,2,-,-,-,-,-,-,12
313960 MANTENA,-,-,4,9,4,7,2,-,-,-,-,-,3,29
313980 MAR DE ESPANHA,-,-,-,-,3,-,-,1,-,-,-,-,2,6
313990 MARIA DA FE,-,-,-,2,-,-,-,-,-,-,-,-,-,2
314000 MARIANA,-,1,6,9,11,3,7,3,-,-,-,-,23,63
314015 MARIO CAMPOS,-,-,-,-,1,-,-,-,-,-,-,-,-,1
314040 MARMELOPOLIS,-,-,-,-,-,-,-,-,-,-,-,-,1,1
314050 MARTINHO CAMPOS,-,-,-,1,-,1,-,-,-,-,-,-,1,3
314055 MATA VERDE,-,-,-,-,-,-,1,-,-,-,-,-,1,2
314070 MATEUS LEME,-,-,-,1,-,1,3,1,-,-,-,-,-,6
314085 MATIAS CARDOSO,-,-,-,1,1,-,-,-,-,-,-,-,-,2
314090 MATIPO,-,-,-,1,2,-,1,-,-,-,-,-,-,4
314110 MATOZINHOS,-,-,2,-,-,-,-,-,-,-,-,-,-,2
314130 MEDEIROS,-,-,1,-,-,-,-,-,-,-,-,-,-,1
314140 MEDINA,-,2,6,11,6,5,7,2,1,-,-,-,4,44
314150 MENDES PIMENTEL,-,-,3,1,1,1,-,-,-,-,-,-,2,8
314180 MINAS NOVAS,-,-,5,11,8,7,6,1,1,-,-,-,10,49
314190 MINDURI,-,-,-,-,-,-,-,-,-,-,-,-,1,1
314200 MIRABELA,-,-,3,2,1,-,2,-,-,-,-,-,1,9
314210 MIRADOURO,-,-,-,-,-,-,1,-,-,-,-,-,-,1
314220 MIRAI,-,-,4,-,2,1,2,1,-,-,-,-,1,11
314225 MIRAVANIA,-,-,1,-,2,-,-,-,-,-,-,-,1,4
314240 MOEMA,-,-,-,1,-,-,-,1,-,-,-,-,1,3
314260 MONSENHOR PAULO,-,-,1,1,-,-,-,-,-,-,-,-,-,2
314270 MONTALVANIA,-,-,4,4,5,3,4,1,1,-,-,-,-,22
314280 MONTE ALEGRE DE MINAS,-,-,2,4,-,3,1,-,-,-,-,-,1,11
314290 MONTE AZUL,-,1,7,2,4,5,2,2,-,-,-,-,5,28
314300 MONTE BELO,-,-,-,-,3,1,-,-,-,-,-,-,1,5
314310 MONTE CARMELO,-,1,11,9,14,5,4,-,-,-,-,-,3,47
314320 MONTE SANTO DE MINAS,-,-,2,2,1,2,2,1,-,-,-,-,-,10
314330 MONTES CLAROS,-,7,110,159,180,173,139,35,2,-,-,-,126,931
314345 MONTEZUMA,-,1,-,-,-,1,1,-,-,-,-,-,-,3
314350 MORADA NOVA DE MINAS,-,-,-,-,-,-,1,-,-,-,-,-,-,1
314370 MORRO DO PILAR,-,-,-,-,-,-,-,-,-,-,-,-,1,1
314390 MURIAE,-,-,21,36,36,34,14,9,1,-,-,-,19,170
314400 MUTUM,-,-,3,2,1,3,-,-,-,-,-,-,-,9
314410 MUZAMBINHO,-,-,2,3,3,2,-,1,-,-,-,-,3,14
314430 NANUQUE,-,1,17,19,20,15,10,4,-,-,-,-,2,88
314450 NAZARENO,-,-,1,-,1,-,2,-,-,-,-,-,-,4
314460 NEPOMUCENO,-,-,3,-,-,1,-,-,-,-,-,-,7,11
314470 NOVA ERA,-,-,1,-,-,-,-,-,-,-,-,-,-,1
314480 NOVA LIMA,-,1,8,38,60,96,84,33,3,-,-,-,21,344
314500 NOVA PONTE,-,-,-,-,2,-,-,-,-,-,-,-,-,2
314510 NOVA RESENDE,-,1,-,-,2,1,-,-,-,-,-,-,2,6
314520 NOVA SERRANA,-,-,18,14,21,19,15,6,-,-,-,-,9,102
314530 NOVO CRUZEIRO,-,-,3,-,2,5,4,-,-,-,-,-,7,21
314545 OLHOS-D'AGUA,-,-,1,-,-,-,-,-,-,-,-,-,-,1
314560 OLIVEIRA,-,-,5,6,9,7,10,3,-,-,-,-,-,40
314590 OURO BRANCO,-,-,5,8,10,14,6,1,-,-,-,-,3,47
314600 OURO FINO,-,-,4,7,3,5,4,2,-,-,-,-,5,30
314610 OURO PRETO,-,-,9,10,15,6,7,2,-,-,-,-,29,78
314620 OURO VERDE DE MINAS,-,-,-,-,-,-,-,-,-,-,-,-,1,1
314630 PADRE PARAISO,-,1,1,8,6,2,6,3,1,-,-,-,3,31
314650 PAINS,-,-,1,-,1,2,1,1,-,-,-,-,-,6
314670 PALMA,-,-,-,-,-,-,-,-,-,-,-,-,2,2
314690 PAPAGAIOS,-,-,-,-,-,-,-,-,-,-,-,-,1,1
314700 PARACATU,-,2,25,18,18,13,17,5,-,-,-,-,8,106
314710 PARA DE MINAS,-,-,22,36,16,15,7,5,-,-,-,-,2,103
314720 PARAGUACU,-,-,-,1,3,-,1,-,-,-,-,-,-,5
314730 PARAISOPOLIS,-,-,4,5,1,2,3,1,-,-,-,-,3,19
314740 PARAOPEBA,-,-,1,1,-,-,-,-,-,-,-,-,-,2
314750 PASSABEM,-,-,-,-,-,-,1,-,-,-,-,-,-,1
314760 PASSA QUATRO,-,-,-,2,1,-,-,-,-,-,-,-,12,15
314790 PASSOS,-,2,30,50,68,47,26,8,-,-,-,-,8,239
314800 PATOS DE MINAS,-,3,45,71,68,64,36,11,1,-,-,-,19,318
314810 PATROCINIO,-,3,15,22,24,19,12,1,-,-,-,-,7,103
314840 PAULISTAS,-,-,-,-,-,-,-,-,-,-,-,-,1,1
314850 PAVAO,-,-,-,1,1,1,-,-,-,-,-,-,1,4
314860 PECANHA,-,-,6,8,4,5,3,1,-,-,-,-,-,27
314870 PEDRA AZUL,-,-,10,18,11,19,5,3,1,-,-,-,10,77
314915 PEDRAS DE MARIA DA CRUZ,-,-,2,-,-,-,-,-,-,-,-,-,-,2
314930 PEDRO LEOPOLDO,-,-,7,13,8,5,9,1,1,-,-,-,10,54
314970 PERDIGAO,-,-,-,1,-,-,-,-,-,-,-,-,-,1
314980 PERDIZES,-,-,2,1,1,1,-,-,-,-,-,-,-,5
314990 PERDOES,-,-,-,2,2,2,1,-,-,-,-,-,-,7
315080 PIRANGA,-,-,-,-,1,2,1,-,-,-,-,-,-,4
315110 PIRAPETINGA,-,-,3,3,2,3,1,-,-,-,-,-,4,16
315120 PIRAPORA,-,-,25,41,32,28,21,1,3,-,-,-,21,172
315140 PITANGUI,-,-,5,4,3,2,5,2,-,-,-,-,11,32
315150 PIUMHI,-,-,11,6,2,4,4,-,-,-,-,-,3,30
315160 PLANURA,-,-,-,-,1,1,-,-,-,-,-,-,-,2
315170 POCO FUNDO,-,1,-,-,4,1,1,-,-,-,-,-,-,7
315180 POCOS DE CALDAS,-,1,25,38,35,27,23,10,1,-,-,-,26,186
315190 POCRANE,-,-,1,2,-,-,-,-,-,-,-,-,-,3
315200 POMPEU,-,-,1,4,3,-,1,1,-,-,-,-,6,16
315210 PONTE NOVA,-,2,28,45,45,39,22,10,1,-,-,-,4,196
315220 PORTEIRINHA,-,-,5,4,3,2,2,3,-,-,-,-,4,23
315240 POTE,-,-,-,-,1,1,-,-,-,-,-,-,-,2
315250 POUSO ALEGRE,-,2,35,50,57,52,44,20,-,-,-,-,73,333
315260 POUSO ALTO,-,-,-,1,-,-,-,-,-,-,-,-,1,2
315280 PRATA,-,-,3,1,2,-,-,-,-,-,-,-,-,6
315290 PRATAPOLIS,-,-,-,-,-,-,-,1,-,-,-,-,-,1
315310 PRESIDENTE BERNARDES,-,-,-,-,-,-,-,-,-,-,-,-,1,1
315340 PRESIDENTE OLEGARIO,-,-,-,-,1,-,-,-,-,-,-,-,-,1
315360 PRUDENTE DE MORAIS,-,-,-,-,-,-,-,-,-,-,-,-,1,1
315370 QUARTEL GERAL,-,-,-,-,-,-,-,-,-,-,-,-,1,1
315400 RAUL SOARES,-,-,1,5,5,2,1,1,-,-,-,-,7,22
315410 RECREIO,-,-,-,1,-,-,-,-,-,-,-,-,3,4
315415 REDUTO,-,-,-,-,-,-,-,-,-,-,-,-,1,1
315420 RESENDE COSTA,-,-,2,-,5,1,2,1,-,-,-,-,13,24
315430 RESPLENDOR,-,2,9,11,9,8,4,2,-,-,-,-,1,46
315445 RIACHINHO,-,-,-,-,-,-,-,-,-,-,-,-,1,1
315450 RIACHO DOS MACHADOS,-,-,-,-,-,-,1,-,-,-,-,-,-,1
315460 RIBEIRAO DAS NEVES,-,1,21,17,5,14,4,5,1,-,-,-,10,78
315490 RIO CASCA,-,-,-,-,1,-,-,-,-,-,-,-,-,1
315520 RIO ESPERA,-,-,-,-,-,-,-,-,-,-,-,-,1,1
315550 RIO PARANAIBA,-,-,-,-,3,-,-,-,-,-,-,-,-,3
315560 RIO PARDO DE MINAS,-,-,1,1,2,1,2,-,-,-,-,-,5,12
315580 RIO POMBA,-,-,-,1,2,5,1,1,-,-,-,-,2,12
315600 RIO VERMELHO,-,-,-,2,1,1,-,-,-,-,-,-,2,6
315630 RODEIRO,-,-,-,1,-,-,-,-,-,-,-,-,-,1
315660 RUBIM,-,-,-,1,3,2,-,-,-,-,-,-,-,6
315670 SABARA,-,-,-,2,1,-,1,-,-,-,-,-,2,6
315680 SABINOPOLIS,-,-,1,2,2,2,2,-,-,-,-,-,6,15
315690 SACRAMENTO,-,1,2,1,4,-,2,1,-,-,-,-,1,12
315700 SALINAS,-,1,7,15,14,12,6,5,1,-,1,-,11,73
315710 SALTO DA DIVISA,-,-,-,-,-,2,2,-,-,-,-,-,1,5
315720 SANTA BARBARA,-,-,5,8,5,7,7,1,-,-,-,-,14,47
315725 SANTA BARBARA DO LESTE,-,-,-,1,-,-,-,-,-,-,-,-,-,1
315760 SANTA FE DE MINAS,-,-,-,-,1,-,-,-,-,-,-,-,-,1
315765 SANTA HELENA DE MINAS,-,-,-,-,-,-,-,1,-,-,-,-,-,1
315770 SANTA JULIANA,-,-,-,1,1,1,-,-,-,-,-,-,1,4
315780 SANTA LUZIA,-,-,-,1,2,1,2,-,-,-,-,-,5,11
315790 SANTA MARGARIDA,-,1,1,-,-,-,-,-,-,-,-,-,-,2
315800 SANTA MARIA DE ITABIRA,-,-,-,-,1,-,-,-,-,-,-,-,1,2
315810 SANTA MARIA DO SALTO,-,-,-,-,-,1,1,-,-,-,-,-,-,2
315820 SANTA MARIA DO SUACUI,-,1,11,10,5,9,6,2,1,-,-,-,6,51
315830 SANTANA DA VARGEM,-,-,-,-,-,1,-,-,-,-,-,-,-,1
315850 SANTANA DE PIRAPAMA,-,-,-,-,-,1,-,-,-,-,-,-,-,1
315930 SANTA RITA DE JACUTINGA,-,-,-,-,-,-,1,-,-,-,-,-,-,1
315960 SANTA RITA DO SAPUCAI,-,-,2,4,1,5,1,1,-,-,-,-,2,16
315970 SANTA ROSA DA SERRA,-,-,1,-,1,-,-,-,-,-,-,-,-,2
315980 SANTA VITORIA,-,-,3,7,6,-,-,-,-,-,-,-,5,21
315990 SANTO ANTONIO DO AMPARO,-,-,1,1,3,-,-,1,-,-,-,-,-,6
316020 SANTO ANTONIO DO ITAMBE,-,-,-,-,-,-,-,-,-,-,-,-,1,1
316030 SANTO ANTONIO DO JACINTO,-,-,-,-,1,-,-,-,-,-,-,-,-,1
316040 SANTO ANTONIO DO MONTE,-,1,3,4,7,3,2,-,-,-,-,-,2,22
316045 SANTO ANTONIO DO RETIRO,-,-,-,-,-,3,1,-,-,-,-,-,-,4
316070 SANTOS DUMONT,-,1,6,11,18,9,7,1,-,-,-,-,8,61
316080 SAO BENTO ABADE,-,-,-,-,-,1,-,-,-,-,-,-,-,1
316095 SAO DOMINGOS DAS DORES,-,-,-,-,-,2,-,-,-,-,-,-,-,2
316100 SAO DOMINGOS DO PRATA,-,-,-,1,-,2,-,-,-,-,-,-,-,3
316105 SAO FELIX DE MINAS,-,-,-,-,-,-,-,-,-,-,-,-,1,1
316110 SAO FRANCISCO,-,1,12,16,16,19,9,5,1,-,-,-,4,83
316160 SAO GERALDO DA PIEDADE,-,-,-,-,-,-,1,-,-,-,-,-,-,1
316170 SAO GONCALO DO ABAETE,-,-,-,-,-,-,1,-,-,-,-,-,-,1
316190 SAO GONCALO DO RIO ABAIXO,-,-,-,-,1,-,-,-,-,-,-,-,1,2
316200 SAO GONCALO DO SAPUCAI,-,-,4,5,7,5,4,2,-,-,-,-,8,35
316210 SAO GOTARDO,-,-,8,12,13,14,2,3,-,-,-,-,10,62
316220 SAO JOAO BATISTA DO GLORIA,-,-,-,-,-,-,2,-,-,-,-,-,-,2
316240 SAO JOAO DA PONTE,-,-,1,2,4,2,-,-,-,-,-,-,3,12
316245 SAO JOAO DAS MISSOES,-,-,2,-,2,2,-,-,-,-,-,-,-,6
316250 SAO JOAO DEL REI,-,1,20,31,30,31,31,20,2,-,-,-,-,166
316260 SAO JOAO DO ORIENTE,-,-,-,-,-,-,-,-,-,-,-,-,1,1
316270 SAO JOAO DO PARAISO,-,-,3,2,2,2,2,1,-,-,-,-,-,12
316280 SAO JOAO EVANGELISTA,-,1,8,5,5,4,3,2,-,-,-,-,10,38
316290 SAO JOAO NEPOMUCENO,-,-,4,1,2,1,2,1,-,-,-,-,5,16
316292 SAO JOAQUIM DE BICAS,-,-,1,1,-,-,-,-,-,-,-,-,-,2
316294 SAO JOSE DA BARRA,-,-,1,-,-,-,-,-,-,-,-,-,-,1
316330 SAO JOSE DO DIVINO,-,-,-,-,-,-,-,-,-,-,-,-,1,1
316370 SAO LOURENCO,-,-,14,23,20,25,12,3,-,-,-,-,28,125
316380 SAO MIGUEL DO ANTA,-,-,-,-,-,-,-,-,-,-,-,-,1,1
316400 SAO PEDRO DOS FERROS,-,-,-,1,-,-,-,-,-,-,-,-,-,1
316420 SAO ROMAO,-,-,-,-,1,-,2,-,-,-,-,-,-,3
316430 SAO ROQUE DE MINAS,-,-,-,-,-,-,1,-,-,-,-,-,-,1
316440 SAO SEBASTIAO DA BELA VISTA,-,-,-,-,-,-,-,1,-,-,-,-,-,1
316447 SAO SEBASTIAO DO ANTA,-,-,-,-,-,1,-,-,-,-,-,-,-,1
316450 SAO SEBASTIAO DO MARANHAO,-,-,-,1,-,-,-,-,-,-,-,-,-,1
316460 SAO SEBASTIAO DO OESTE,-,-,-,2,-,-,-,-,-,-,-,-,-,2
316470 SAO SEBASTIAO DO PARAISO,-,-,8,12,11,11,5,-,-,-,-,-,74,121
316500 SAO TIAGO,-,-,1,2,1,1,1,1,-,-,-,-,-,7
316510 SAO TOMAS DE AQUINO,-,-,-,-,-,-,1,1,-,-,-,-,-,2
316520 SAO THOME DAS LETRAS,-,-,1,-,-,-,-,-,-,-,-,-,1,2
316530 SAO VICENTE DE MINAS,-,-,1,-,1,-,-,-,-,-,-,-,-,2
316555 SETUBINHA,-,-,1,-,2,-,-,-,1,-,-,-,1,5
316557 SENADOR AMARAL,-,-,-,1,-,-,-,-,-,-,-,-,-,1
316570 SENADOR FIRMINO,-,-,-,-,-,1,-,-,-,-,-,-,-,1
316620 SENHORA DOS REMEDIOS,-,-,-,-,-,-,2,-,-,-,-,-,-,2
316650 SERRA AZUL DE MINAS,-,-,1,-,-,-,-,-,-,-,-,-,-,1
316670 SERRA DOS AIMORES,-,-,-,-,1,-,-,-,-,-,-,-,-,1
316710 SERRO,-,-,2,6,2,2,3,-,-,-,-,-,17,32
316720 SETE LAGOAS,-,1,34,38,47,49,36,17,-,-,-,-,138,360
316770 SOBRALIA,-,-,1,-,-,-,-,-,-,-,-,-,-,1
316800 TAIOBEIRAS,-,-,21,27,35,31,13,7,1,-,-,-,-,135
316840 TARUMIRIM,-,-,-,-,1,-,-,-,-,-,-,-,2,3
316860 TEOFILO OTONI,-,6,80,120,113,100,70,32,1,-,-,-,10,532
316870 TIMOTEO,-,-,8,17,15,17,11,9,1,-,-,-,15,93
316890 TIROS,-,-,1,-,-,1,-,-,-,-,-,-,-,2
316930 TRES CORACOES,-,1,20,21,24,22,17,7,-,-,-,-,24,136
316935 TRES MARIAS,-,-,2,10,6,4,-,2,-,-,-,-,4,28
316940 TRES PONTAS,-,-,10,13,11,18,8,6,-,-,-,-,22,88
316960 TUPACIGUARA,-,-,-,-,-,1,-,-,-,-,-,-,1,2
316970 TURMALINA,-,1,1,3,5,5,1,2,-,-,-,-,10,28
316980 TURVOLANDIA,-,-,-,1,-,-,-,-,-,-,-,-,-,1
316990 UBA,-,1,14,22,25,28,18,6,-,-,-,-,98,212
317005 UBAPORANGA,-,-,-,2,1,-,1,-,-,-,-,-,-,4
317010 UBERABA,-,7,70,113,95,68,63,11,2,-,-,-,40,469
317020 UBERLANDIA,-,6,107,167,166,150,98,31,1,-,-,-,39,765
317040 UNAI,-,-,13,25,25,13,7,4,-,-,-,-,5,92
317043 UNIAO DE MINAS,-,-,-,-,-,1,-,-,-,-,-,-,-,1
317052 URUCUIA,-,-,1,1,1,3,2,1,-,-,-,-,1,10
317057 VARGEM ALEGRE,-,-,1,-,1,-,-,-,-,-,-,-,-,2
317065 VARGEM GRANDE DO RIO PARDO,-,-,-,-,-,1,-,1,-,-,-,-,-,2
317070 VARGINHA,-,1,9,14,24,26,24,8,3,-,-,-,55,164
317075 VARJAO DE MINAS,-,-,-,1,-,-,-,-,-,-,-,-,-,1
317080 VARZEA DA PALMA,-,1,5,11,4,4,1,-,-,-,-,-,2,28
317090 VARZELANDIA,-,-,2,2,-,-,1,-,-,-,-,-,2,7
317100 VAZANTE,-,-,2,-,1,-,1,-,-,-,-,-,-,4
317103 VERDELANDIA,-,-,-,1,-,-,1,-,-,-,-,-,-,2
317107 VEREDINHA,-,-,-,-,1,-,-,-,-,-,-,-,1,2
317115 VERMELHO NOVO,-,-,-,-,1,-,-,-,-,-,-,-,-,1
317120 VESPASIANO,-,-,-,3,2,2,1,1,-,-,-,-,1,10
317130 VICOSA,-,-,19,20,26,29,17,5,-,-,-,-,23,139
317160 VIRGEM DA LAPA,-,-,1,2,-,1,-,-,-,-,-,-,1,5
