Município,Menos de 500g,500 a 999g,1000 a 1499 g,1500 a 2499 g,2500 a 2999 g,3000 a 3999 g,4000g e mais,Ignorado,Total
240580 JOAO CAMARA,-,4,-,3,1,2,-,6,16
240610 JUCURUTU,-,1,1,-,1,3,-,-,6
240650 LAGOA NOVA,-,1,-,1,-,-,-,1,3
240660 LAGOA SALGADA,1,1,-,-,-,-,-,2,4
240670 LAJES,-,-,-,-,-,-,1,1,2
240700 LUIS GOMES,1,1,1,-,-,-,-,-,3
240710 MACAIBA,9,18,14,22,12,12,-,14,101
240720 MACAU,1,2,2,5,2,3,-,1,16
240740 MARTINS,-,-,-,-,-,-,-,1,1
240760 MESSIAS TARGINO,-,-,-,-,-,1,-,-,1
240770 MONTANHAS,-,-,1,-,-,-,-,1,2
240780 MONTE ALEGRE,-,2,1,-,-,-,-,-,3
240800 MOSSORO,87,218,114,183,64,68,11,49,794
240810 NATAL,227,462,315,547,212,203,69,299,2.334
240820 NISIA FLORESTA,-,-,-,-,-,-,-,1,1
240830 NOVA CRUZ,1,3,3,3,1,2,1,4,18
240880 PARAZINHO,-,-,2,-,1,-,-,-,3
240890 PARELHAS,-,5,6,8,11,9,-,1,40
240895 RIO DO FOGO,-,-,1,-,-,-,-,-,1
240910 PASSA E FICA,-,-,-,-,-,-,1,-,1
240930 PATU,-,2,-,-,-,-,-,1,3
240933 SANTA MARIA,-,-,-,-,-,1,-,-,1
240940 PAU DOS FERROS,37,46,22,54,12,24,2,5,202
240960 PEDRA PRETA,-,-,-,-,-,-,-,1,1
240980 PEDRO VELHO,-,1,-,1,-,1,-,2,5
240990 PENDENCIAS,-,-,-,1,-,-,-,-,1
241010 POCO BRANCO,-,-,-,1,-,-,-,-,1
241025 PORTO DO MANGUE,-,-,-,1,-,-,-,-,1
241090 RIACHUELO,-,1,-,-,-,-,-,-,1
241105 TIBAU,-,1,-,-,-,-,-,1,2
241120 SANTA CRUZ,44,35,27,55,27,34,5,25,252
241140 SANTANA DO MATOS,-,-,-,-,-,1,-,-,1
241150 SANTO ANTONIO,1,1,5,3,3,1,2,3,19
241160 SAO BENTO DO NORTE,-,-,-,-,-,1,-,-,1
241170 SAO BENTO DO TRAIRI,-,1,-,-,-,-,-,-,1
241200 SAO GONCALO DO AMARANTE,1,9,8,6,3,9,1,11,48
241220 SAO JOSE DE MIPIBU,9,19,11,36,24,17,4,9,129
241250 SAO MIGUEL,-,1,-,-,1,-,-,-,2
241255 SAO MIGUEL DO GOSTOSO,-,-,-,-,-,-,-,1,1
241260 SAO PAULO DO POTENGI,-,2,-,-,-,-,1,1,4
241270 SAO PEDRO,-,-,-,-,-,-,-,1,1
241280 SAO RAFAEL,1,-,-,-,-,-,-,-,1
241290 SAO TOME,-,-,1,-,-,-,-,-,1
241310 SENADOR ELOI DE SOUZA,-,2,-,1,-,-,-,-,3
241350 SERRINHA,-,1,-,-,-,-,-,-,1
241370 SITIO NOVO,-,-,-,-,-,1,-,-,1
241390 TAIPU,-,-,-,1,-,2,-,2,5
241400 TANGARA,-,1,-,-,-,-,-,-,1
241410 TENENTE ANANIAS,-,-,-,-,1,-,-,-,1
241415 TENENTE LAURENTINO CRUZ,1,-,-,-,-,-,-,1,2
241420 TIBAU DO SUL,-,2,-,-,1,-,1,1,5
241440 TOUROS,-,1,-,1,-,-,-,2,4
241450 UMARIZAL,-,-,-,1,-,-,-,-,1
241480 VERA CRUZ,-,-,1,-,-,-,-,-,1
241500 VILA FLOR,-,-,-,-,1,-,-,-,1
MUNICIPIO IGNORADO - PB,-,-,-,-,-,-,-,2,2
250030 ALAGOA GRANDE,1,1,-,1,-,-,-,2,5
250050 ALAGOINHA,-,-,2,1,1,1,-,1,6
250060 ALHANDRA,-,2,1,1,1,-,-,1,6
250070 SAO JOAO DO RIO DO PEIXE,1,-,-,-,-,-,-,1,2
250080 ARACAGI,-,-,2,-,-,1,-,-,3
250090 ARARA,-,1,-,-,-,-,-,-,1
250100 ARARUNA,-,-,1,1,-,1,-,-,3
250110 AREIA,-,-,-,-,-,1,-,-,1
250120 AREIAL,-,-,-,-,-,-,-,1,1
250130 AROEIRAS,-,-,1,-,1,-,-,-,2
250150 BANANEIRAS,-,2,-,1,1,-,-,-,4
250160 BARRA DE SANTA ROSA,-,-,2,-,-,-,-,-,2
250180 BAYEUX,1,11,1,10,5,2,2,5,37
250190 BELEM,-,1,1,1,-,-,-,-,3
250240 BONITO DE SANTA FE,-,-,-,-,1,-,-,1,2
250260 IGARACY,-,1,-,-,-,-,-,1,2
250270 BORBOREMA,-,1,-,-,-,-,1,-,2
250280 BREJO DO CRUZ,-,-,-,-,-,-,-,1,1
250290 BREJO DOS SANTOS,-,-,-,-,-,1,-,-,1
250300 CAAPORA,-,1,1,-,1,-,-,1,4
250320 CABEDELO,2,11,3,8,9,5,-,6,44
250330 CACHOEIRA DOS INDIOS,-,-,-,1,-,-,-,1,2
250350 CACIMBA DE DENTRO,-,3,1,-,-,-,-,1,5
250355 CACIMBAS,-,-,-,-,-,-,-,1,1
250360 CAICARA,-,2,-,-,-,-,-,1,3
250370 CAJAZEIRAS,1,31,19,46,27,16,4,19,163
250400 CAMPINA GRANDE,26,377,241,437,158,204,51,60,1.554
250403 CAPIM,-,1,-,-,-,-,-,-,1
250407 CARAUBAS,-,-,2,-,-,-,-,-,2
250420 CATINGUEIRA,-,-,1,-,-,-,-,-,1
250430 CATOLE DO ROCHA,7,26,16,21,15,11,3,8,107
250440 CONCEICAO,-,2,-,-,2,-,1,1,6
250480 COREMAS,-,2,-,1,1,1,-,-,5
250490 CRUZ DO ESPIRITO SANTO,1,-,-,-,-,-,-,1,2
250510 CUITE,-,-,2,-,-,1,1,1,5
250520 CUITEGI,-,1,-,-,-,-,-,-,1
250530 CURRAL VELHO,-,1,-,-,-,-,-,-,1
250535 DAMIAO,-,1,-,-,-,-,-,-,1
250570 DONA INES,-,2,1,-,-,-,-,-,3
250580 DUAS ESTRADAS,-,1,-,-,-,-,-,-,1
250600 ESPERANCA,-,3,3,1,-,1,1,2,11
250630 GUARABIRA,2,41,24,39,29,35,15,15,200
250670 IMACULADA,-,-,2,-,-,-,-,-,2
250680 INGA,-,-,-,-,-,-,-,2,2
250690 ITABAIANA,-,11,5,6,2,3,-,8,35
250700 ITAPORANGA,3,4,3,9,5,11,2,1,38
250710 ITAPOROROCA,-,-,-,1,-,-,-,-,1
250750 JOAO PESSOA,135,526,363,528,216,228,65,133,2.194
250770 JUAZEIRINHO,-,1,-,2,-,-,-,2,5
250820 LAGOA DE DENTRO,-,-,-,1,-,-,-,-,1
250830 LAGOA SECA,-,-,-,-,-,1,-,-,1
250855 LOGRADOURO,-,1,-,1,-,1,-,-,3
250860 LUCENA,-,-,-,-,-,1,-,-,1
250870 MAE D'AGUA,-,2,-,-,-,-,-,-,2
250880 MALTA,-,-,-,1,-,-,-,-,1
250890 MAMANGUAPE,1,24,10,22,6,12,5,7,87
250910 MARI,-,1,-,-,-,-,-,-,1
250920 MASSARANDUBA,-,-,-,-,-,-,-,2,2
250930 MATARACA,-,2,-,-,-,-,-,-,2
250940 MOGEIRO,-,-,-,-,-,-,-,1,1
250970 MONTEIRO,5,10,5,9,3,8,1,1,42
250980 MULUNGU,-,-,1,-,-,1,-,-,2
250990 NATUBA,1,-,-,-,-,-,1,-,2
251010 NOVA FLORESTA,1,-,-,1,-,-,-,1,3
251080 PATOS,9,135,96,184,60,81,17,19,601
251090 PAULISTA,-,2,-,-,-,-,-,1,3
251100 PEDRA BRANCA,-,-,-,-,-,-,-,2,2
251110 PEDRA LAVRADA,-,1,-,-,-,-,-,-,1
251120 PEDRAS DE FOGO,1,1,-,-,1,1,-,1,5
251130 PIANCO,1,1,-,5,-,2,-,4,13
251140 PICUI,-,8,-,7,3,10,2,1,31
251160 PILOES,-,1,-,-,-,-,-,-,1
251180 PIRPIRITUBA,-,-,-,-,-,1,-,-,1
251190 PITIMBU,-,-,1,-,-,-,-,-,1
251203 POCO DANTAS,-,-,-,1,-,1,-,1,3
251210 POMBAL,3,6,15,17,5,8,1,8,63
251230 PRINCESA ISABEL,-,3,1,3,1,4,-,3,15
251250 QUEIMADAS,1,1,1,2,-,2,1,2,10
251260 QUIXABA,-,-,1,-,-,-,-,-,1
251270 REMIGIO,-,-,-,-,-,-,-,1,1
251274 RIACHAO,-,-,-,-,1,-,-,-,1
251276 RIACHAO DO POCO,-,1,-,-,-,-,-,-,1
251280 RIACHO DOS CAVALOS,-,-,1,-,-,-,-,-,1
251340 SANTA LUZIA,-,-,1,-,-,-,-,-,1
251360 SANTANA DOS GARROTES,-,-,-,-,-,-,-,1,1
251370 SANTA RITA,2,27,17,27,21,24,9,31,158
251390 SAO BENTO,2,2,2,2,1,3,-,-,12
251396 SAO DOMINGOS,-,-,-,-,1,-,-,-,1
251450 SAO JOSE DE PIRANHAS,-,-,1,-,-,-,-,-,1
251490 SAO MAMEDE,-,-,-,1,-,-,-,-,1
251530 SAPE,-,1,-,-,1,-,-,1,3
251550 SERRA BRANCA,-,-,-,-,-,1,-,-,1
251560 SERRA DA RAIZ,-,-,-,1,-,-,-,-,1
251590 SERRARIA,-,-,2,-,-,-,-,-,2
251600 SOLANEA,-,4,2,6,7,2,2,1,24
251610 SOLEDADE,-,1,1,-,-,-,-,-,2
251620 SOUSA,11,36,20,24,18,14,5,23,151
251630 SUME,1,2,4,5,4,1,3,2,22
251640 TACIMA,-,-,-,1,-,-,-,-,1
251650 TAPEROA,-,1,1,1,-,-,-,4,7
251660 TAVARES,-,1,1,-,-,-,-,-,2
251670 TEIXEIRA,-,-,-,-,-,-,-,4,4
251675 TENORIO,-,-,-,-,-,-,-,1,1
251680 TRIUNFO,-,1,-,-,-,-,-,-,1
251690 UIRAUNA,-,-,-,-,-,-,-,1,1
251710 VARZEA,-,-,-,1,-,-,-,-,1
MUNICIPIO IGNORADO - PE,-,-,-,-,-,-,-,1,1
260005 ABREU E LIMA,4,20,8,19,9,17,1,9,87
260010 AFOGADOS DA INGAZEIRA,27,51,30,53,21,29,5,7,223
260020 AFRANIO,-,-,1,-,-,6,-,1,8
260030 AGRESTINA,-,2,1,1,1,3,-,-,8
260040 AGUA PRETA,-,1,-,2,-,-,1,1,5
260050 AGUAS BELAS,-,4,1,8,1,1,-,4,19
260060 ALAGOINHA,-,-,-,-,1,-,-,-,1
260070 ALIANCA,-,-,1,-,-,-,-,2,3
260080 ALTINHO,2,-,2,2,-,2,-,-,8
260090 AMARAJI,-,-,-,-,1,-,-,-,1
260100 ANGELIM,-,-,-,-,-,3,-,-,3
260105 ARACOIABA,-,-,-,-,-,-,-,1,1
260110 ARARIPINA,2,53,26,67,33,35,5,3,224
260120 ARCOVERDE,48,71,58,94,54,68,20,44,457
260130 BARRA DE GUABIRABA,-,-,1,-,-,-,-,-,1
260140 BARREIROS,1,9,1,3,1,4,-,4,23
260160 BELEM DE SAO FRANCISCO,1,3,-,2,1,2,1,-,10
260170 BELO JARDIM,2,4,1,5,1,3,-,4,20
260180 BETANIA,2,2,-,1,-,1,-,3,9
260190 BEZERROS,-,5,4,3,-,2,-,7,21
260200 BODOCO,-,-,1,1,2,1,-,-,5
260210 BOM CONSELHO,3,3,1,6,-,2,-,2,17
260220 BOM JARDIM,2,1,-,-,-,-,-,-,3
260230 BONITO,1,4,1,5,3,1,-,1,16
260240 BREJAO,-,1,-,-,-,-,1,-,2
260250 BREJINHO,-,-,-,1,-,-,-,-,1
260260 BREJO DA MADRE DE DEUS,-,5,1,3,1,2,-,1,13
260270 BUENOS AIRES,-,1,-,-,-,-,-,-,1
260280 BUIQUE,-,5,-,5,4,6,1,3,24
260290 CABO DE SANTO AGOSTINHO,2,28,10,15,12,9,1,4,81
260300 CABROBO,-,4,3,4,-,6,-,1,18
260310 CACHOEIRINHA,-,3,-,1,1,1,-,1,7
260320 CAETES,-,-,1,1,-,-,-,2,4
260330 CALCADO,-,-,-,-,-,1,-,-,1
260340 CALUMBI,-,1,-,1,-,-,-,-,2
260345 CAMARAGIBE,1,9,6,8,4,5,-,11,44
260350 CAMOCIM DE SAO FELIX,-,1,-,-,-,-,-,-,1
260360 CAMUTANGA,-,2,-,-,-,-,-,2,4
260370 CANHOTINHO,-,3,1,-,-,1,1,1,7
260380 CAPOEIRAS,-,1,-,2,1,-,-,2,6
260390 CARNAIBA,-,1,-,-,-,-,-,-,1
260392 CARNAUBEIRA DA PENHA,-,-,1,1,-,1,-,-,3
260400 CARPINA,-,-,-,-,4,5,-,2,11
260410 CARUARU,19,277,179,316,135,188,58,35,1.207
260415 CASINHAS,1,1,-,1,-,-,-,1,4
260420 CATENDE,-,-,-,1,-,1,-,1,3
260430 CEDRO,-,-,-,-,-,-,-,1,1
260440 CHA DE ALEGRIA,-,1,-,-,-,-,-,2,3
260450 CHA GRANDE,-,1,-,-,1,-,-,4,6
260460 CONDADO,-,1,-,-,-,1,-,-,2
260470 CORRENTES,1,-,1,2,2,-,-,1,7
260480 CORTES,-,3,-,2,1,-,-,-,6
260490 CUMARU,1,-,-,-,-,-,-,-,1
260500 CUPIRA,-,3,2,-,-,1,-,1,7
260510 CUSTODIA,-,4,5,5,2,3,-,4,23
260515 DORMENTES,-,1,1,2,1,-,1,-,6
260520 ESCADA,2,3,2,2,2,2,1,6,20
260530 EXU,-,-,1,2,1,-,1,-,5
260540 FEIRA NOVA,-,-,-,1,-,1,1,-,3
260550 FERREIROS,-,-,-,-,-,-,-,1,1
260570 FLORESTA,1,12,5,20,9,5,5,7,64
260580 FREI MIGUELINHO,-,1,-,1,-,-,-,-,2
260590 GAMELEIRA,-,1,2,1,1,3,1,1,10
260600 GARANHUNS,8,99,56,146,63,84,30,33,519
260620 GOIANA,-,11,8,9,4,8,2,5,47
260630 GRANITO,-,1,-,-,-,-,-,-,1
260640 GRAVATA,1,4,4,2,4,1,-,4,20
260650 IATI,-,-,2,-,2,5,1,2,12
260660 IBIMIRIM,1,6,3,2,3,3,-,-,18
260680 IGARASSU,1,1,1,-,1,1,-,3,8
260700 INAJA,1,1,-,1,1,6,2,4,16
260720 IPOJUCA,1,21,10,12,6,10,-,9,69
260730 IPUBI,1,-,-,3,3,1,-,-,8
260740 ITACURUBA,-,-,-,-,1,-,-,-,1
260750 ITAIBA,1,-,-,1,1,1,2,4,10
260760 ILHA DE ITAMARACA,1,-,2,-,-,-,-,-,3
260765 ITAMBE,4,2,1,2,-,-,-,1,10
260770 ITAPETIM,-,-,-,-,-,1,-,-,1
260780 ITAQUITINGA,1,1,-,-,-,1,-,-,3
260790 JABOATAO DOS GUARARAPES,5,71,40,80,31,46,9,55,337
260795 JAQUEIRA,-,-,1,-,-,-,-,-,1
260800 JATAUBA,-,1,-,1,-,1,1,1,5
260805 JATOBA,-,2,-,1,-,1,1,-,5
260810 JOAO ALFREDO,1,1,1,-,1,-,1,4,9
260825 JUCATI,-,1,-,-,-,-,-,-,1
260830 JUPI,1,-,-,1,-,-,-,-,2
260840 JUREMA,-,-,1,1,1,-,-,1,4
260845 LAGOA DO CARRO,1,1,-,-,-,-,-,-,2
260850 LAGOA DE ITAENGA,-,-,-,-,-,-,-,1,1
260860 LAGOA DO OURO,-,1,-,1,-,-,-,1,3
260870 LAGOA DOS GATOS,-,1,1,1,-,-,-,3,6
260875 LAGOA GRANDE,1,3,1,3,-,-,1,-,9
260880 LAJEDO,-,1,1,-,-,-,-,3,5
260890 LIMOEIRO,3,19,8,23,14,20,5,33,125
260900 MACAPARANA,1,3,2,1,-,2,-,1,10
260910 MACHADOS,-,2,-,-,1,1,-,-,4
260915 MANARI,-,-,2,3,5,8,1,2,21
260920 MARAIAL,-,1,-,1,-,-,-,-,2
260930 MIRANDIBA,-,2,-,-,-,-,-,-,2
260940 MORENO,-,-,-,1,-,-,-,-,1
260950 NAZARE DA MATA,2,27,11,31,13,18,3,69,174
260960 OLINDA,6,36,40,53,27,47,2,46,257
260970 OROBO,1,1,2,-,-,1,-,3,8
260980 OROCO,-,3,-,-,-,-,1,1,5
260990 OURICURI,27,67,49,83,56,37,7,7,333
261000 PALMARES,7,70,59,81,55,71,18,63,424
261020 PANELAS,1,1,1,-,-,2,-,1,6
261040 PARNAMIRIM,-,1,1,-,2,2,-,1,7
261050 PASSIRA,-,-,-,-,-,-,-,1,1
261060 PAUDALHO,-,1,-,1,-,-,1,1,4
261070 PAULISTA,1,3,1,2,-,-,-,5,12
261090 PESQUEIRA,2,14,5,15,7,13,6,5,67
261100 PETROLANDIA,2,14,4,18,11,18,4,10,81
261110 PETROLINA,141,389,242,378,140,156,35,24,1.505
261120 POCAO,-,3,-,-,-,1,-,1,5
261130 POMBOS,-,-,-,1,-,-,-,-,1
261140 PRIMAVERA,-,-,-,-,-,-,-,1,1
261150 QUIPAPA,-,-,1,1,-,-,-,-,2
261153 QUIXABA,-,-,-,-,-,-,-,1,1
261160 RECIFE,190,1.610,1.018,1.692,671,683,182,300,6.346
261170 RIACHO DAS ALMAS,-,-,-,-,1,-,-,-,1
261180 RIBEIRAO,-,6,1,-,3,4,1,2,17
261190 RIO FORMOSO,-,-,-,1,-,-,1,1,3
261200 SAIRE,-,-,-,-,-,1,-,-,1
261220 SALGUEIRO,24,67,44,61,30,43,1,10,280
261230 SALOA,1,2,1,1,1,-,-,1,7
261240 SANHARO,1,4,3,1,-,-,-,-,9
261245 SANTA CRUZ,-,1,4,1,-,-,-,-,6
261250 SANTA CRUZ DO CAPIBARIBE,-,1,5,2,3,2,-,6,19
261255 SANTA FILOMENA,1,-,2,-,1,3,-,1,8
261260 SANTA MARIA DA BOA VISTA,-,3,3,5,3,4,1,1,20
261280 SANTA TEREZINHA,1,-,-,-,-,1,-,-,2
261290 SAO BENEDITO DO SUL,-,2,-,1,-,2,-,-,5
261300 SAO BENTO DO UNA,2,2,1,2,2,2,-,-,11
261310 SAO CAITANO,-,1,2,-,2,1,1,1,8
261320 SAO JOAO,-,-,1,-,-,1,-,-,2
261330 SAO JOAQUIM DO MONTE,-,2,1,-,-,-,-,1,4
261340 SAO JOSE DA COROA GRANDE,1,2,-,1,-,-,-,-,4
261350 SAO JOSE DO BELMONTE,1,3,2,3,4,3,-,-,16
261360 SAO JOSE DO EGITO,1,4,3,5,4,6,1,1,25
261370 SAO LOURENCO DA MATA,3,9,14,24,9,8,1,11,79
261380 SAO VICENTE FERRER,-,1,-,1,-,-,-,-,2
261390 SERRA TALHADA,27,57,31,65,18,22,6,18,244
261400 SERRITA,-,-,-,-,-,1,-,-,1
261410 SERTANIA,-,2,2,-,-,1,-,1,6
261420 SIRINHAEM,-,5,2,3,-,-,-,3,13
261430 MOREILANDIA,-,-,2,-,-,-,-,-,2
261440 SOLIDAO,-,1,-,-,-,-,-,-,1
261450 SURUBIM,1,5,3,4,2,4,-,2,21
261460 TABIRA,-,4,1,-,-,-,-,2,7
261480 TACARATU,-,3,3,1,-,-,1,-,8
261485 TAMANDARE,-,1,-,-,-,1,-,2,4
261500 TAQUARITINGA DO NORTE,-,-,-,1,1,-,-,1,3
261510 TEREZINHA,-,-,-,-,1,-,-,2,3
261530 TIMBAUBA,-,4,7,4,2,6,2,4,29
261540 TORITAMA,-,2,2,-,1,1,-,1,7
261550 TRACUNHAEM,-,1,1,1,-,-,-,-,3
261560 TRINDADE,2,3,2,1,-,2,-,-,10
261570 TRIUNFO,-,1,-,-,-,-,-,-,1
261580 TUPANATINGA,2,2,1,2,3,8,-,1,19
261590 TUPARETAMA,-,-,1,-,-,-,-,-,1
261600 VENTUROSA,-,-,3,-,2,1,-,-,6
261618 VERTENTE DO LERIO,-,1,-,-,-,-,-,-,1
261620 VERTENTES,-,2,1,1,3,3,1,2,13
261630 VICENCIA,-,1,1,-,1,-,2,1,6
261640 VITORIA DE SANTO ANTAO,4,71,51,99,45,45,13,37,365
261650 XEXEU,-,-,1,1,1,-,-,-,3
270010 AGUA BRANCA,-,1,-,2,1,2,-,-,6
270030 ARAPIRACA,9,197,116,226,93,154,35,109,939
270040 ATALAIA,-,1,1,1,-,2,-,6,11
270050 BARRA DE SANTO ANTONIO,-,-,-,-,1,-,-,-,1
270070 BATALHA,1,4,3,-,8,5,2,5,28
270090 BELO MONTE,-,-,1,-,-,-,-,-,1
270100 BOCA DA MATA,-,1,2,-,-,-,-,-,3
270110 BRANQUINHA,-,1,-,-,-,-,-,-,1
270130 CAJUEIRO,-,2,-,-,2,-,-,2,6
270140 CAMPO ALEGRE,-,-,2,-,1,1,-,3,7
270160 CANAPI,-,1,-,-,-,1,-,-,2
270170 CAPELA,1,1,1,3,-,2,-,3,11
270210 COLONIA LEOPOLDINA,-,-,-,1,2,1,-,1,5
270220 COQUEIRO SECO,-,-,-,1,-,-,-,-,1
270230 CORURIPE,4,15,11,13,10,11,5,4,73
270235 CRAIBAS,-,3,-,2,-,1,1,3,10
270240 DELMIRO GOUVEIA,-,5,1,4,2,5,1,5,23
270250 DOIS RIACHOS,-,1,-,-,-,-,-,-,1
270255 ESTRELA DE ALAGOAS,-,1,-,-,-,-,-,-,1
270260 FEIRA GRANDE,-,-,-,-,1,-,-,1,2
270280 FLEXEIRAS,-,-,-,-,-,2,-,-,2
270290 GIRAU DO PONCIANO,-,2,-,2,2,1,-,2,9
270300 IBATEGUARA,-,1,-,-,-,-,-,1,2
270310 IGACI,-,-,-,1,-,-,-,-,1
270320 IGREJA NOVA,-,-,-,1,-,-,-,-,1
270330 INHAPI,2,-,-,1,-,1,-,1,5
270340 JACARE DOS HOMENS,-,1,-,-,-,-,-,-,1
270360 JAPARATINGA,-,-,-,-,-,1,-,-,1
270370 JARAMATAIA,-,-,1,2,-,-,-,-,3
270380 JOAQUIM GOMES,-,-,-,-,2,1,-,5,8
270390 JUNDIA,-,-,1,-,-,-,-,-,1
270400 JUNQUEIRO,-,-,1,-,2,1,1,-,5
270410 LAGOA DA CANOA,-,1,-,1,-,-,-,-,2
270420 LIMOEIRO DE ANADIA,-,-,-,-,-,-,-,1,1
270430 MACEIO,98,552,361,653,273,332,93,222,2.584
270440 MAJOR ISIDORO,-,-,-,1,-,-,-,3,4
270450 MARAGOGI,1,3,3,3,4,6,1,7,28
270470 MARECHAL DEODORO,-,2,1,3,1,1,-,4,12
270480 MARIBONDO,-,-,1,-,-,-,-,-,1
270500 MATA GRANDE,-,2,-,1,-,1,-,1,5
270510 MATRIZ DE CAMARAGIBE,2,1,1,1,-,5,1,-,11
270520 MESSIAS,-,-,-,-,-,1,-,-,1
270550 MURICI,-,-,1,5,1,1,1,4,13
270590 OLHO D'AGUA GRANDE,-,-,-,-,-,1,-,-,1
270610 OURO BRANCO,-,-,1,-,-,-,-,-,1
270630 PALMEIRA DOS INDIOS,4,53,45,58,27,35,15,22,259
270640 PAO DE ACUCAR,-,1,1,2,-,-,3,-,7
270650 PASSO DE CAMARAGIBE,-,-,-,1,-,-,-,-,1
270670 PENEDO,1,35,19,49,23,26,8,15,176
270680 PIACABUCU,-,1,-,-,-,-,-,1,2
270690 PILAR,1,1,-,3,1,-,-,-,6
270710 PIRANHAS,1,1,1,4,1,1,-,2,11
270730 PORTO CALVO,-,1,-,3,2,3,-,1,10
270740 PORTO DE PEDRAS,-,-,1,-,-,-,-,1,2
270760 QUEBRANGULO,-,1,-,-,-,-,-,-,1
270770 RIO LARGO,-,9,6,4,5,5,1,-,30
270800 SANTANA DO IPANEMA,2,149,78,136,66,99,17,21,568
270830 SAO JOSE DA LAJE,-,-,-,4,-,3,2,-,9
270840 SAO JOSE DA TAPERA,1,-,1,5,1,1,-,1,10
270850 SAO LUIS DO QUITUNDE,2,1,2,1,1,2,1,7,17
270860 SAO MIGUEL DOS CAMPOS,5,39,22,51,26,26,11,8,188
270880 SAO SEBASTIAO,-,-,1,2,2,4,-,3,12
270890 SATUBA,-,1,-,1,-,-,-,1,3
270900 TANQUE D'ARCA,-,-,-,-,-,1,-,-,1
270915 TEOTONIO VILELA,-,1,-,1,2,3,-,-,7
270920 TRAIPU,-,2,1,4,1,2,-,-,10
270930 UNIAO DOS PALMARES,2,26,18,40,21,30,8,19,164
270940 VICOSA,1,2,1,1,1,4,2,1,13
280020 AQUIDABA,-,3,-,-,-,-,-,-,3
280030 ARACAJU,168,571,375,695,217,304,124,15,2.469
280060 BARRA DOS COQUEIROS,-,-,-,-,-,-,-,1,1
280067 BOQUIM,-,1,-,-,-,-,-,-,1
280120 CANINDE DE SAO FRANCISCO,-,4,3,3,1,5,-,-,16
280130 CAPELA,2,10,9,15,3,6,3,-,48
280140 CARIRA,-,1,-,-,-,1,-,-,2
280150 CARMOPOLIS,-,1,1,2,-,-,-,-,4
280170 CRISTINAPOLIS,-,1,-,-,-,-,-,1,2
280210 ESTANCIA,1,47,22,55,30,44,7,5,211
280240 GARARU,-,-,-,-,-,-,-,1,1
280290 ITABAIANA,18,63,47,87,43,59,7,3,327
280300 ITABAIANINHA,-,-,-,4,2,2,-,2,10
280320 ITAPORANGA D'AJUDA,-,3,-,1,1,1,1,1,8
280330 JAPARATUBA,-,-,-,-,1,-,-,-,1
280350 LAGARTO,4,39,18,47,32,41,14,10,205
280360 LARANJEIRAS,-,1,-,-,-,1,-,-,2
280380 MALHADA DOS BOIS,-,-,-,-,-,1,-,-,1
280400 MARUIM,-,-,1,-,-,-,-,-,1
280420 MONTE ALEGRE DE SERGIPE,-,-,-,2,-,-,-,-,2
280440 NEOPOLIS,-,2,1,2,-,1,-,1,7
280450 NOSSA SENHORA DA GLORIA,-,27,15,18,8,20,3,5,96
280460 NOSSA SENHORA DAS DORES,-,1,-,-,1,-,-,-,2
280470 NOSSA SENHORA DE LOURDES,-,1,-,-,-,1,-,-,2
280480 NOSSA SENHORA DO SOCORRO,5,40,26,34,18,17,3,6,149
280490 PACATUBA,-,1,-,-,-,-,-,2,3
280500 PEDRA MOLE,-,-,-,-,-,1,-,-,1
280540 POCO REDONDO,2,5,2,4,-,2,-,2,17
280550 POCO VERDE,-,-,-,1,-,1,1,1,4
280560 PORTO DA FOLHA,-,-,1,1,-,1,-,1,4
280570 PROPRIA,-,27,8,16,22,15,6,8,102
280580 RIACHAO DO DANTAS,-,2,-,-,-,-,-,1,3
280590 RIACHUELO,-,2,1,-,-,-,-,-,3
280620 SALGADO,2,-,-,-,-,-,-,2,4
280630 SANTA LUZIA DO ITANHY,-,1,1,-,-,-,-,1,3
280640 SANTANA DO SAO FRANCISCO,-,-,-,-,1,1,-,-,2
280670 SAO CRISTOVAO,-,-,-,1,1,1,-,3,6
280710 SIMAO DIAS,2,2,-,1,1,-,1,1,8
280720 SIRIRI,-,1,-,-,-,-,-,-,1
280740 TOBIAS BARRETO,-,1,2,2,1,1,-,2,9
280750 TOMAR DO GERU,-,2,1,2,1,-,-,-,6
280760 UMBAUBA,-,1,1,-,-,-,-,1,3
290020 ABARE,1,3,-,1,1,-,-,2,8
290030 ACAJUTIBA,1,1,1,-,-,-,-,-,3
290035 ADUSTINA,-,-,1,-,-,-,-,1,2
290040 AGUA FRIA,-,-,1,1,1,1,-,1,5
290050 ERICO CARDOSO,-,4,-,1,-,2,-,-,7
290060 AIQUARA,-,-,-,-,-,-,-,1,1
290070 ALAGOINHAS,6,137,56,102,51,107,30,14,503
290080 ALCOBACA,-,3,2,2,1,4,-,3,15
290090 ALMADINA,-,-,-,1,-,-,-,1,2
290100 AMARGOSA,-,10,4,3,2,3,1,2,25
290110 AMELIA RODRIGUES,-,4,1,-,-,-,-,1,6
290115 AMERICA DOURADA,1,1,-,2,1,2,-,1,8
290120 ANAGE,2,2,1,1,-,1,-,-,7
290130 ANDARAI,-,1,-,2,1,-,-,3,7
290135 ANDORINHA,-,1,-,-,-,-,-,-,1
290150 ANGUERA,-,1,-,-,-,-,-,-,1
290160 ANTAS,2,6,8,13,11,27,6,6,79
